Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,26,28.2,38,415,"3,420",38,66,56,122,61,5,6,71,4,1.74,1.47,3.21,1.61,3.08
Aston Villa,22,25.8,38,416,"3,420",38,49,39,88,46,3,4,45,2,1.29,1.03,2.32,1.21,2.24
Barnsley,26,26.2,38,387,"3,420",38,37,18,55,34,3,5,69,5,0.97,0.47,1.45,0.89,1.37
Blackburn,24,26.9,38,410,"3,420",38,55,54,109,53,2,2,62,4,1.45,1.42,2.87,1.39,2.82
Bolton,28,28,38,433,"3,420",38,41,33,74,38,3,3,70,5,1.08,0.87,1.95,1,1.87
Chelsea,28,27.9,38,416,"3,420",38,67,66,133,61,6,6,66,3,1.76,1.74,3.5,1.61,3.34
Coventry City,26,27.3,38,398,"3,420",38,46,32,78,41,5,7,72,5,1.21,0.84,2.05,1.08,1.92
Crystal Palace,36,25.6,38,389,"3,420",38,35,27,62,34,1,2,75,3,0.92,0.71,1.63,0.89,1.61
Derby County,28,25.5,38,416,"3,420",38,52,36,88,47,5,6,84,2,1.37,0.95,2.32,1.24,2.18
Everton,34,25.9,38,401,"3,420",38,38,30,68,38,0,0,80,5,1,0.79,1.79,1,1.79
Leeds United,22,25.7,38,418,"3,420",38,52,43,95,51,1,2,85,5,1.37,1.13,2.5,1.34,2.47
Leicester City,22,26.6,38,418,"3,420",38,51,40,91,47,4,4,46,2,1.34,1.05,2.39,1.24,2.29
Liverpool,24,25.4,38,416,"3,420",38,68,57,125,64,4,5,55,2,1.79,1.5,3.29,1.68,3.18
Manchester Utd,29,26.3,38,418,"3,420",38,68,57,125,65,3,6,61,1,1.79,1.5,3.29,1.71,3.21
Newcastle Utd,26,27.2,38,411,"3,420",38,35,25,60,34,1,2,64,3,0.92,0.66,1.58,0.89,1.55
Sheffield Weds,34,27.7,38,430,"3,420",38,51,44,95,48,3,3,71,4,1.34,1.16,2.5,1.26,2.42
Southampton,31,27.5,38,413,"3,420",38,48,37,85,43,5,5,59,4,1.26,0.97,2.24,1.13,2.11
Tottenham,28,27.3,38,415,"3,420",38,44,39,83,44,0,2,60,2,1.16,1.03,2.18,1.16,2.18
West Ham,29,25.3,38,413,"3,420",38,53,42,95,52,1,1,64,5,1.39,1.11,2.5,1.37,2.47
Wimbledon,27,26.5,38,429,"3,420",38,32,29,61,31,1,1,47,2,0.84,0.76,1.61,0.82,1.58
