Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,28.8,38,418,"3,420",38,49,35,84,46,3,5,63,2,1.29,0.92,2.21,1.21,2.13
Aston Villa,24,25.3,38,415,"3,420",38,49,37,86,47,2,2,43,2,1.29,0.97,2.26,1.24,2.21
Blackburn,26,26.6,38,427,"3,420",38,60,45,105,57,3,3,66,4,1.58,1.18,2.76,1.5,2.68
Bolton,28,27.1,38,418,"3,420",38,39,27,66,36,3,3,61,3,1.03,0.71,1.74,0.95,1.66
Chelsea,25,27.5,38,434,"3,420",38,45,34,79,42,3,4,67,3,1.18,0.89,2.08,1.11,2
Coventry City,26,27.1,38,422,"3,420",38,42,31,73,41,1,2,62,3,1.11,0.82,1.92,1.08,1.89
Everton,24,27.7,38,423,"3,420",38,63,45,108,59,4,4,64,3,1.66,1.18,2.84,1.55,2.74
Leeds United,31,27.1,38,403,"3,420",38,38,28,66,36,2,3,61,4,1,0.74,1.74,0.95,1.68
Liverpool,19,25.8,38,421,"3,420",38,68,54,122,67,1,1,37,0,1.79,1.42,3.21,1.76,3.18
Manchester City,27,26.1,38,386,"3,420",38,33,26,59,32,1,2,69,6,0.87,0.68,1.55,0.84,1.53
Manchester Utd,23,25.5,38,422,"3,420",38,72,62,134,68,4,4,56,3,1.89,1.63,3.53,1.79,3.42
Middlesbrough,30,26,38,418,"3,420",38,34,27,61,31,3,4,73,3,0.89,0.71,1.61,0.82,1.53
Newcastle Utd,22,27.1,38,401,"3,420",38,68,54,122,65,3,4,48,1,1.79,1.42,3.21,1.71,3.13
Nott'ham Forest,22,26,38,407,"3,420",38,48,35,83,45,3,3,46,2,1.26,0.92,2.18,1.18,2.11
QPR,27,26.2,38,419,"3,420",38,37,33,70,37,0,1,71,4,0.97,0.87,1.84,0.97,1.84
Sheffield Weds,28,27.9,38,401,"3,420",38,48,37,85,44,4,4,35,1,1.26,0.97,2.24,1.16,2.13
Southampton,25,26.2,38,417,"3,420",38,33,21,54,29,4,4,62,2,0.87,0.55,1.42,0.76,1.32
Tottenham,23,27.4,38,424,"3,420",38,47,38,85,45,2,2,53,0,1.24,1,2.24,1.18,2.18
West Ham,31,28.2,38,422,"3,420",38,43,29,72,38,5,6,52,4,1.13,0.76,1.89,1,1.76
Wimbledon,30,27,38,421,"3,420",38,54,39,93,52,2,2,57,7,1.42,1.03,2.45,1.37,2.39
