Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,28,29.2,38,402,"3,420",38,59,36,95,51,8,8,84,4,1.55,0.95,2.5,1.34,2.29
Aston Villa,21,25.4,38,418,"3,420",38,46,32,78,42,4,5,52,0,1.21,0.84,2.05,1.11,1.95
Blackburn,25,27,38,422,"3,420",38,42,36,78,40,2,3,65,1,1.11,0.95,2.05,1.05,2
Chelsea,31,28.1,38,414,"3,420",38,56,47,103,52,4,5,80,1,1.47,1.24,2.71,1.37,2.61
Coventry City,25,28,38,411,"3,420",38,36,29,65,33,3,3,52,4,0.95,0.76,1.71,0.87,1.63
Derby County,26,26.1,38,414,"3,420",38,42,34,76,39,3,4,63,1,1.11,0.89,2,1.03,1.92
Everton,26,27.1,38,430,"3,420",38,45,36,81,41,4,6,61,2,1.18,0.95,2.13,1.08,2.03
Leeds United,30,26.9,38,403,"3,420",38,27,22,49,27,0,1,79,1,0.71,0.58,1.29,0.71,1.29
Leicester City,24,26.4,38,424,"3,420",38,44,29,73,41,3,6,51,1,1.16,0.76,1.92,1.08,1.84
Liverpool,23,26.2,38,412,"3,420",38,58,48,106,56,2,3,44,1,1.53,1.26,2.79,1.47,2.74
Manchester Utd,23,25.8,38,413,"3,420",38,70,47,117,66,4,6,57,1,1.84,1.24,3.08,1.74,2.97
Middlesbrough,30,26.2,38,403,"3,420",38,50,29,79,45,5,8,74,3,1.32,0.76,2.08,1.18,1.95
Newcastle Utd,20,27.3,38,400,"3,420",38,72,48,120,67,5,7,57,1,1.89,1.26,3.16,1.76,3.03
Nott'ham Forest,29,27.9,38,415,"3,420",38,31,22,53,29,2,3,66,1,0.82,0.58,1.39,0.76,1.34
Sheffield Weds,24,26.7,38,418,"3,420",38,50,29,79,48,2,4,51,2,1.32,0.76,2.08,1.26,2.03
Southampton,31,25.9,38,416,"3,420",38,47,37,84,41,6,7,67,6,1.24,0.97,2.21,1.08,2.05
Sunderland,25,28.3,38,369,"3,420",38,32,22,54,28,4,6,54,5,0.84,0.58,1.42,0.74,1.32
Tottenham,26,26.7,38,415,"3,420",38,43,32,75,41,2,3,61,1,1.13,0.84,1.97,1.08,1.92
West Ham,32,27.9,38,412,"3,420",38,40,35,75,35,5,6,68,2,1.05,0.92,1.97,0.92,1.84
Wimbledon,24,26.6,38,418,"3,420",38,48,36,84,48,0,1,37,1,1.26,0.95,2.21,1.26,2.21
