Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,23,27.5,42,452,"3,780",42,50,27,77,46,4,5,32,1,1.19,0.64,1.83,1.1,1.74
Aston Villa,25,27.5,42,458,"3,780",42,45,28,73,42,3,3,23,1,1.07,0.67,1.74,1,1.67
Blackburn,22,25.4,42,481,"3,780",42,63,42,105,60,3,4,28,0,1.5,1,2.5,1.43,2.43
Chelsea,25,25.7,42,481,"3,780",42,51,28,79,48,3,5,29,2,1.21,0.67,1.88,1.14,1.81
Coventry City,27,26.1,42,466,"3,780",42,43,25,68,40,3,5,14,0,1.02,0.6,1.62,0.95,1.55
Everton,22,27.6,42,467,"3,780",42,43,23,66,40,3,4,33,0,1.02,0.55,1.57,0.95,1.5
Ipswich Town,21,27.9,42,441,"3,780",42,31,19,50,29,2,3,25,0,0.74,0.45,1.19,0.69,1.14
Leeds United,25,26.2,42,468,"3,780",42,63,38,101,62,1,2,37,0,1.5,0.9,2.4,1.48,2.38
Liverpool,26,26.5,42,465,"3,780",42,54,35,89,49,5,7,31,1,1.29,0.83,2.12,1.17,2
Manchester City,32,26,42,433,"3,780",42,35,15,50,34,1,2,34,0,0.83,0.36,1.19,0.81,1.17
Manchester Utd,23,27.1,42,468,"3,780",42,79,55,134,76,3,3,31,2,1.88,1.31,3.19,1.81,3.12
Newcastle Utd,27,25.9,42,440,"3,780",42,80,50,130,71,9,10,23,1,1.9,1.19,3.1,1.69,2.88
Norwich City,24,27.1,42,470,"3,780",42,64,39,103,63,1,1,26,2,1.52,0.93,2.45,1.5,2.43
Oldham Athletic,28,26.2,42,453,"3,780",42,40,25,65,39,1,2,30,4,0.95,0.6,1.55,0.93,1.52
QPR,22,27.3,42,461,"3,780",42,60,37,97,55,5,6,31,3,1.43,0.88,2.31,1.31,2.19
Sheffield Utd,28,26.3,42,447,"3,780",42,41,26,67,41,0,0,43,4,0.98,0.62,1.6,0.98,1.6
Sheffield Weds,27,26.8,42,450,"3,780",42,71,47,118,69,2,3,21,2,1.69,1.12,2.81,1.64,2.76
Southampton,31,27,42,438,"3,780",42,50,30,80,43,7,7,43,1,1.19,0.71,1.9,1.02,1.74
Swindon Town,26,27.3,42,464,"3,780",42,45,28,73,38,7,8,39,1,1.07,0.67,1.74,0.9,1.57
Tottenham,30,25.2,42,485,"3,780",42,53,31,84,51,2,4,26,1,1.26,0.74,2,1.21,1.95
West Ham,26,28.1,42,424,"3,780",42,44,29,73,42,2,3,23,1,1.05,0.69,1.74,1,1.69
Wimbledon,25,26.6,42,440,"3,780",42,49,28,77,48,1,2,37,0,1.17,0.67,1.83,1.14,1.81
