Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,29,26.4,42,462,"3,780",42,40,34,74,40,0,0,38,1,0.95,0.81,1.76,0.95,1.76
Aston Villa,24,27,42,462,"3,780",42,56,41,97,54,2,3,23,0,1.33,0.98,2.31,1.29,2.26
Blackburn,25,26,42,480,"3,780",42,66,52,118,63,3,4,37,3,1.57,1.24,2.81,1.5,2.74
Chelsea,32,26.3,42,452,"3,780",42,50,40,90,49,1,1,45,2,1.19,0.95,2.14,1.17,2.12
Coventry City,30,26.4,42,453,"3,780",42,48,27,75,46,2,3,32,1,1.14,0.64,1.79,1.1,1.74
Crystal Palace,24,25.1,42,457,"3,780",42,45,30,75,45,0,1,31,3,1.07,0.71,1.79,1.07,1.79
Everton,26,27.9,42,462,"3,780",42,51,33,84,47,4,4,29,3,1.21,0.79,2,1.12,1.9
Ipswich Town,22,27.5,42,462,"3,780",42,50,29,79,46,4,5,33,1,1.19,0.69,1.88,1.1,1.79
Leeds United,30,27,42,461,"3,780",42,55,35,90,50,5,5,42,0,1.31,0.83,2.14,1.19,2.02
Liverpool,25,25.7,42,462,"3,780",42,61,45,106,53,8,9,35,3,1.45,1.07,2.52,1.26,2.33
Manchester City,23,26.3,42,461,"3,780",42,53,42,95,50,3,4,44,1,1.26,1,2.26,1.19,2.19
Manchester Utd,20,26.6,42,461,"3,780",42,66,35,101,64,2,2,32,0,1.57,0.83,2.4,1.52,2.36
Middlesbrough,26,26.5,42,468,"3,780",42,49,39,88,48,1,2,44,2,1.17,0.93,2.1,1.14,2.07
Norwich City,21,26.4,42,455,"3,780",42,58,43,101,55,3,4,22,0,1.38,1.02,2.4,1.31,2.33
Nott'ham Forest,23,25.1,42,458,"3,780",42,41,30,71,37,4,5,30,1,0.98,0.71,1.69,0.88,1.6
Oldham Athletic,24,25.5,42,466,"3,780",42,61,42,103,60,1,2,38,0,1.45,1,2.45,1.43,2.43
QPR,23,26.6,42,455,"3,780",42,61,45,106,58,3,4,37,0,1.45,1.07,2.52,1.38,2.45
Sheffield Utd,25,25.9,42,440,"3,780",42,50,36,86,49,1,2,55,4,1.19,0.86,2.05,1.17,2.02
Sheffield Weds,26,27.8,42,463,"3,780",42,54,40,94,51,3,3,30,1,1.29,0.95,2.24,1.21,2.17
Southampton,25,26.3,42,455,"3,780",42,54,38,92,52,2,2,55,3,1.29,0.9,2.19,1.24,2.14
Tottenham,31,24.9,42,454,"3,780",42,58,33,91,58,0,0,40,1,1.38,0.79,2.17,1.38,2.17
Wimbledon,28,25.9,42,452,"3,780",42,54,40,94,52,2,3,50,3,1.29,0.95,2.24,1.24,2.19
